SIC	UTS
0	373.00
0	365.35
0	364.37
0	388.29
0	383.82
0	378.49
0	374.97
0	366.91
0	358.84
0	378.08
0	373.21
0.5	432.75
0.5	425.93
0.5	437.30
0.5	427.35
0.5	445.37
0.5	438.98
0.5	427.39
0.5	438.81
0.5	429.37
0.5	439.22
0.5	434.25
1	444.78
1	454.01
1	450.12
1	438.29
1	456.67
1	440.71
1	458.93
1	439.71
1	441.47
1	452.01
1	447.67
2	502.30
2	516.36
2	524.45
2	553.42
2	539.91
2	518.67
2	539.49
2	521.07
2	554.37
2	541.73
2	531.18
0.00	380.92
0.10	388.4231
0.2	395.9262
0.30	403.4293
0.40	410.9324
0.5	418.4355
0.60	425.9386
0.70	433.4417
0.8	440.9448
0.90	448.4479
1.00	455.951
1.1	463.4541
1.20	470.9572
1.30	478.4603
1.4	485.9634
1.50	493.4665
1.60	500.9696
1.7	508.4727
1.80	515.9758
1.90	523.4789
2	530.982
