SIC	UTS
0	218.37
0	220.63
0	205.23
0	202.37
0	208.79
0	214.73
0	197.32
0	211.36
0	219.02
0	212.73
0	211.06
0.5	256.06
0.5	238.06
0.5	255.84
0.5	245.73
0.5	252.01
0.5	237.41
0.5	241.87
0.5	263.87
0.5	252.01
0.5	244.31
0.5	239.72
0.5	247.90
1	265.97
1	232.87
1	256.04
1	257.12
1	267.18
1	259.37
1	271.10
1	255.06
1	269.43
1	260.91
1	259.51
2	237.14
2	213.37
2	254.52
2	242.44
2	250.13
2	236.92
2	243.08
2	231.38
2	248.97
2	236.38
2	239.43
0.00	211.98
0.10	220.1409
0.2	227.5856
0.30	234.3141
0.40	240.3264
0.5	245.6225
0.60	250.2024
0.70	254.0661
0.8	257.2136
0.90	259.6449
1.00	261.36
1.1	262.3589
1.20	262.6416
1.30	262.2081
1.4	261.0584
1.50	259.1925
1.60	256.6104
1.7	253.3121
1.80	249.2976
1.90	244.5669
2	239.12
